,index,id,season,stage,date,home_team_api_id,away_team_api_id,home_team_name,away_team_name,home_team_overall,away_team_overall,home_team_potential,away_team_potential,home_build_up,away_build_up,home_def_press,away_def_press,home_goal_diff,away_goal_diff,home_matchs_won,away_matchs_won
18,18,15198,2014/2015,18,2015-01-18,10235,8611,FEY,TWE,0.7482268573177664,0.7324456688093051,0.7757546606031454,0.7646923783287419,0.43434343434343436,0.4444444444444444,0.43434343434343436,0.4444444444444444,129,165,111,120
19,19,25772,2014/2015,4,2014-08-10,10179,9824,SIO,VAD,0.652892561983471,0.5959377323013686,0.7076063666972758,0.6469565787747605,0.45454545454545453,,0.45454545454545453,,-1,-87,88,13
20,20,5198,2009/2010,13,2009-11-07,9873,10249,VAL,MON,0.711662075298439,0.6808999081726356,0.7837465564738292,0.7566574839302113,,,,,-24,30,52,87
21,21,22592,2010/2011,38,2011-05-21,8581,8394,LEV,ZAR,0.7291092745638199,0.731404958677686,0.7672176308539945,0.7603305785123967,0.37373737373737376,0.3838383838383838,0.37373737373737376,0.3838383838383838,-80,-66,53,33
22,22,9445,2013/2014,2,2013-08-17,9790,8226,HAM,HOF,0.751672569854388,0.7503002609063215,0.8037328552480069,0.7964260206684449,0.45454545454545453,0.47474747474747475,0.45454545454545453,0.47474747474747475,-52,-46,73,67
23,23,4233,2014/2015,3,2014-08-30,8456,10194,MCI,STK,0.8371529144256417,0.7556954829682102,0.8480789132304284,0.7717958808867899,0.42424242424242425,0.3838383838383838,0.42424242424242425,0.3838383838383838,227,-69,135,73
24,24,4781,2008/2009,10,2008-10-25,8639,7819,LIL,CAE,0.7148760330578511,0.7043158861340679,0.800734618916437,0.761248852157943,,,,,123,-28,115,43
25,25,15785,2008/2009,16,2008-11-28,8569,8020,BEL,GOR,0.805325987144169,0.7603305785123967,0.8558310376492194,0.8236914600550965,,,,,-7,-11,49,61
26,26,24510,2015/2016,5,2015-09-23,8581,8372,LEV,EIB,0.7346713892168438,0.7134133543224451,0.7572383284504497,0.7571078752896937,0.36363636363636365,0.37373737373737376,0.36363636363636365,0.37373737373737376,-80,-34,53,12
27,27,13135,2015/2016,31,2016-04-03,10233,9891,GEN,FRO,0.7373846692028508,0.6931741659014385,0.7678844724299269,0.7203550658096113,0.2727272727272727,0.5555555555555556,0.2727272727272727,0.5555555555555556,-22,-33,81,7
28,28,24504,2015/2016,4,2015-09-19,8633,7878,REA,GRA,0.8422034194761469,0.7368162140889414,0.8689492325855962,0.7783462328916874,0.5252525252525253,0.48484848484848486,0.5252525252525253,0.48484848484848486,462,-88,190,40
